Acession;Virus;Genotype;Product;Host;Country;Date;Size;Clinic;Gender;Age
AB455493;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;Sri Lanka;2006;11829;CHF;F;59
AB455494;Chikungunya;East-Central-South-African;5'UTR-nsP1-nsP2-nsP3-nsP4-C-E3-E2-6K-E1-3'UTR;Hs;Sri Lanka;2006;11829;CHF;F;59
AB857730;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857731;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857732;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857733;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857734;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857735;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857736;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857737;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857738;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857739;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857740;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857741;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857742;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857743;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857744;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857745;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857746;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857747;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857748;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857749;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857750;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857751;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857752;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
AB857753;Chikungunya;East-Central-South-African;C-E3-E2-6K-E1-3'UTR;Hs;Thailand;2010;3747;CHF;N/A;N/A
