Acession;Genotype;Country;Date
AB455493;East-Central-South-African;Sri Lanka;2006
AB455494;East-Central-South-African;Sri Lanka;2006
AB857730;East-Central-South-African;Thailand;2010
AB857731;East-Central-South-African;Thailand;2010
AB857732;East-Central-South-African;Thailand;2010
AB857733;East-Central-South-African;Thailand;2010
AB857734;East-Central-South-African;Thailand;2010
AB857735;East-Central-South-African;Thailand;2010
AB857736;East-Central-South-African;Thailand;2010
AB857737;East-Central-South-African;Thailand;2010
AB857738;East-Central-South-African;Thailand;2010
AB857739;East-Central-South-African;Thailand;2010
AB857740;East-Central-South-African;Thailand;2010
AB857741;East-Central-South-African;Thailand;2010
AB857742;East-Central-South-African;Thailand;2010
AB857743;East-Central-South-African;Thailand;2010
AB857744;East-Central-South-African;Thailand;2010
AB857745;East-Central-South-African;Thailand;2010
AB857746;East-Central-South-African;Thailand;2010
AB857747;East-Central-South-African;Thailand;2010
AB857748;East-Central-South-African;Thailand;2010
AB857749;East-Central-South-African;Thailand;2010
AB857750;East-Central-South-African;Thailand;2010
AB857751;East-Central-South-African;Thailand;2010
AB857752;East-Central-South-African;Thailand;2010
AB857753;East-Central-South-African;Thailand;2010
AB857754;East-Central-South-African;Thailand;2010
AB857755;East-Central-South-African;Thailand;2010
AB857756;East-Central-South-African;Thailand;2010
AB857757;East-Central-South-African;Thailand;2010
AB857758;East-Central-South-African;Thailand;2010
AB857759;East-Central-South-African;Thailand;2010
AB857760;East-Central-South-African;Thailand;2010
AB857761;East-Central-South-African;Thailand;2010
AB857762;East-Central-South-African;Thailand;2010
AB857763;East-Central-South-African;Thailand;2010
AB857764;East-Central-South-African;Thailand;2010
AB857765;East-Central-South-African;Thailand;2010
AB857766;East-Central-South-African;Thailand;2010
AB857767;East-Central-South-African;Thailand;2010
AB857768;East-Central-South-African;Thailand;2010
AB857769;East-Central-South-African;Thailand;2010
AB857770;East-Central-South-African;Thailand;2010
AB857771;East-Central-South-African;Thailand;2010
AB857772;East-Central-South-African;Thailand;2010
AB857773;East-Central-South-African;Thailand;2010
AB857774;East-Central-South-African;Thailand;2010
AB857775;East-Central-South-African;Thailand;2010
AB857776;East-Central-South-African;Thailand;2010
AB857777;East-Central-South-African;Thailand;2010
AB857778;East-Central-South-African;Thailand;2010
AB857779;East-Central-South-African;Thailand;2010
AB857780;East-Central-South-African;Thailand;2010
AB857781;East-Central-South-African;Thailand;2010
AB857782;East-Central-South-African;Thailand;2010
AB857783;East-Central-South-African;Thailand;2010
AB857784;East-Central-South-African;Thailand;2010
AB857785;East-Central-South-African;Thailand;2010
AB857786;East-Central-South-African;Thailand;2010
AB857787;East-Central-South-African;Thailand;2010
AB857788;East-Central-South-African;Thailand;2010
AB857789;East-Central-South-African;Thailand;2010
AB857790;East-Central-South-African;Thailand;2010
AB857791;East-Central-South-African;Thailand;2010
AB857792;East-Central-South-African;Thailand;2010
AB857793;East-Central-South-African;Thailand;2010
AB857794;East-Central-South-African;Thailand;2010
AB857795;East-Central-South-African;Thailand;2010
AB857796;East-Central-South-African;Thailand;2010
AB857797;East-Central-South-African;Thailand;2010
AB857798;East-Central-South-African;Thailand;2010
AB857799;East-Central-South-African;Thailand;2010
AB857800;East-Central-South-African;Thailand;2010
AB857801;East-Central-South-African;Thailand;2010
AB857802;East-Central-South-African;Thailand;2010
AB857803;East-Central-South-African;Thailand;2010
AB857804;East-Central-South-African;Thailand;2010
AB857805;East-Central-South-African;Thailand;2010
AB857806;East-Central-South-African;Thailand;2010
AB857807;East-Central-South-African;Thailand;2010
AB857808;East-Central-South-African;Thailand;2010
AB857809;East-Central-South-African;Thailand;2010
AB857810;East-Central-South-African;Thailand;2010
AB857811;East-Central-South-African;Thailand;2010
AB857812;East-Central-South-African;Thailand;2010
AB857813;East-Central-South-African;Thailand;2010
AB857814;East-Central-South-African;Thailand;2010
AB857815;East-Central-South-African;Thailand;2010
AB857816;East-Central-South-African;Thailand;2010
AB857817;East-Central-South-African;Thailand;2010
AB857818;East-Central-South-African;Thailand;2010
AB857819;East-Central-South-African;Thailand;2010
AB857820;East-Central-South-African;Thailand;2010
AB857821;East-Central-South-African;Thailand;2010
AB857822;East-Central-South-African;Thailand;2010
AB857823;East-Central-South-African;Thailand;2010
AB857824;East-Central-South-African;Thailand;2010
AB857825;East-Central-South-African;Thailand;2010
AB857826;East-Central-South-African;Thailand;2010
AB857827;East-Central-South-African;Thailand;2010
AB857828;East-Central-South-African;Thailand;2010
AB857829;East-Central-South-African;Thailand;2010
AB857830;East-Central-South-African;Thailand;2010
AB857831;East-Central-South-African;Thailand;2010
AB857832;East-Central-South-African;Thailand;2010
AB857833;East-Central-South-African;Thailand;2010
AB857834;East-Central-South-African;Thailand;2010
AB857835;East-Central-South-African;Thailand;2010
AB857836;East-Central-South-African;Thailand;2010
AB857837;East-Central-South-African;Thailand;2010
AB857838;East-Central-South-African;Thailand;2010
AB857839;East-Central-South-African;Thailand;2010
AB857840;East-Central-South-African;Thailand;2010
AB857841;East-Central-South-African;Thailand;2010
AB908054;Could not assign;Angola;2014
AM258991;East-Central-South-African;Seychelles;2005
AM258992;East-Central-South-African;Reunion;2005
AM258993;East-Central-South-African;Reunion;2005
AM258995;East-Central-South-African;Reunion;2005
AM396995;Asian and Caribbean;Malaysia;2006
AM396996;Asian and Caribbean;Malaysia;2006
AM396997;Asian and Caribbean;Malaysia;2006
AM396998;Asian and Caribbean;Malaysia;2006
AM396999;Asian and Caribbean;Malaysia;2006
AM397000;Asian and Caribbean;Malaysia;2006
AM397001;Asian and Caribbean;Malaysia;2006
AM397003;Asian and Caribbean;Malaysia;2006
AM397004;Asian and Caribbean;Malaysia;2006
AM397005;Asian and Caribbean;Malaysia;2006
AM397006;Asian and Caribbean;Malaysia;2006
AM397007;Asian and Caribbean;Malaysia;2006
AM397008;Asian and Caribbean;Malaysia;2006
AY549575;East-Central-South-African;Democratic Republic of the Congo;2000
AY549576;East-Central-South-African;Democratic Republic of the Congo;2000
AY549577;East-Central-South-African;Democratic Republic of the Congo;2000
AY549578;East-Central-South-African;Democratic Republic of the Congo;2000
AY549579;East-Central-South-African;Democratic Republic of the Congo;2000
AY549580;East-Central-South-African;Democratic Republic of the Congo;2000
AY549581;East-Central-South-African;Democratic Republic of the Congo;2000
AY549582;East-Central-South-African;Democratic Republic of the Congo;2000
AY549583;East-Central-South-African;Democratic Republic of the Congo;2000
AY549584;East-Central-South-African;Democratic Republic of the Congo;2000
DQ443544;East-Central-South-African;Reunion;2006
DQ451149;East-Central-South-African;Reunion;2006
DQ462746;East-Central-South-African;Reunion;2006
DQ462747;East-Central-South-African;Reunion;2006
DQ462748;East-Central-South-African;Reunion;2006
DQ489787;East-Central-South-African;Hong Kong;2006
DQ489788;East-Central-South-African;Hong Kong;2006
DQ520734;East-Central-South-African;India;2006
DQ520735;East-Central-South-African;India;2006
DQ520736;East-Central-South-African;India;2006
DQ520737;East-Central-South-African;India;2005
DQ520738;East-Central-South-African;India;2006
DQ520739;East-Central-South-African;India;2006
DQ520742;East-Central-South-African;India;2006
DQ520743;East-Central-South-African;India;2006
DQ520744;East-Central-South-African;India;2006
DQ520745;East-Central-South-African;India;2006
DQ520746;Asian and Caribbean;India;2006
DQ520755;East-Central-South-African;India;2005
DQ520756;East-Central-South-African;India;2005
DQ520765;East-Central-South-African;India;2005
DQ520766;East-Central-South-African;India;2005
DQ520767;East-Central-South-African;India;2006
DQ520768;East-Central-South-African;India;2006
DQ520769;East-Central-South-African;India;2006
DQ520770;East-Central-South-African;India;2006
DQ520771;East-Central-South-African;India;2006
DQ520772;East-Central-South-African;India;2006
DQ520773;East-Central-South-African;India;2006
DQ520774;East-Central-South-African;India;2005
DQ520775;East-Central-South-African;India;2006
DQ520776;East-Central-South-African;India;2006
DQ520777;East-Central-South-African;India;2006
DQ520778;East-Central-South-African;India;2006
DQ520779;East-Central-South-African;India;2006
DQ520780;East-Central-South-African;India;2006
DQ520781;East-Central-South-African;India;2006
DQ520782;East-Central-South-African;India;2006
DQ520783;East-Central-South-African;India;2006
DQ520784;East-Central-South-African;India;2006
DQ520785;East-Central-South-African;India;2006
DQ520786;East-Central-South-African;India;2006
DQ520787;East-Central-South-African;India;2006
DQ520788;East-Central-South-African;India;2006
DQ520789;East-Central-South-African;India;2006
DQ520790;East-Central-South-African;India;2006
DQ520791;East-Central-South-African;India;2006
DQ678928;East-Central-South-African;Australia;2006
DQ888620;East-Central-South-African;India;2006
DQ909008;East-Central-South-African;India;2005
EF027134;East-Central-South-African;India;2006
EF027135;East-Central-South-African;India;2006
EF027136;East-Central-South-African;India;2006
EF027137;East-Central-South-African;India;2006
EF027138;East-Central-South-African;India;2006
EF187882;East-Central-South-African;India;2006
EF187883;East-Central-South-African;India;2006
EF187884;East-Central-South-African;India;2006
EF187885;East-Central-South-African;India;2006
EF187886;East-Central-South-African;India;2006
EF187887;East-Central-South-African;India;2006
EF187888;East-Central-South-African;India;2006
EF187889;East-Central-South-African;India;2006
EF187890;East-Central-South-African;India;2006
EF187891;East-Central-South-African;India;2006
EF187892;East-Central-South-African;India;2006
EF187893;East-Central-South-African;India;2006
EF187894;East-Central-South-African;India;2006
EF187895;East-Central-South-African;India;2006
EF187896;East-Central-South-African;India;2006
EF187897;East-Central-South-African;India;2006
EF187898;East-Central-South-African;India;2006
EF187899;East-Central-South-African;India;2006
EF187900;East-Central-South-African;India;2006
EF187901;East-Central-South-African;India;2006
EF187902;East-Central-South-African;India;2006
EF187903;East-Central-South-African;India;2006
EF187904;East-Central-South-African;India;2006
EF187905;East-Central-South-African;India;2006
EF187906;East-Central-South-African;India;2006
EF193853;East-Central-South-African;Mauritius;2006
EF193854;East-Central-South-African;Seychelles;2006
EF193855;East-Central-South-African;Mauritius;2006
EF193856;East-Central-South-African;India;2006
EF193857;East-Central-South-African;India;2006
EF193858;East-Central-South-African;India;2006
EF193859;East-Central-South-African;India;2006
EF210157;East-Central-South-African;India;2006
EF555196;East-Central-South-African;India;2007
EF555197;East-Central-South-African;India;2007
EF555198;East-Central-South-African;India;2007
EF555199;East-Central-South-African;India;2007
EF555200;East-Central-South-African;India;2007
EF559252;East-Central-South-African;India;2007
EF613342;East-Central-South-African;Gabon;2007
EF613343;East-Central-South-African;Gabon;2007
EF613344;East-Central-South-African;Gabon;2007
EU170523;East-Central-South-African;India;2007
EU170524;East-Central-South-African;India;2007
EU170525;East-Central-South-African;India;2007
EU170526;East-Central-South-African;India;2007
EU170527;East-Central-South-African;India;2007
EU188923;East-Central-South-African;Reunion;2005
EU188924;East-Central-South-African;Mauritius;2006
EU190880;East-Central-South-African;Italy;2005
EU190882;East-Central-South-African;Italy;2005
EU190883;East-Central-South-African;Italy;2005
EU192142;East-Central-South-African;Singapore;2006
EU192143;Asian and Caribbean;Indonesia;2007
